item_id,Quiz,Choices,Answer
0,____被称为中国古代的一部农业百科全书。,A.《农政全书》B.《天工开物》,A
1,发生在战国时期的战争是______。,A.涿鹿之战 B.马陵之战,B
2,位于东北平原北部的____是黑龙江省的省会。,A.哈尔滨 B.长春,A
3,窗花一般是____作品。,A.蜡染 B.剪纸,B
4,森林、云海、日出、_____是台湾岛阿里山的四大特色。,A.樱花 B.桃花,A
5,公元138年，发明地动仪准确预报地震的人是____。,A.张仲景 B.张衡,B
6,聂卫平是著名的____选手。,A.象棋 B.围棋,B
7,____年中国加入了世界贸易组织。,A.2002 B.2001,B
8,藏族人有一个独特的礼仪，就是将一种特制的白色长巾献给客人，这种长巾叫____。,A.哈达 B.斗篷,A
9,三国时期，____提出了唯才是举的用人方针。,A.诸葛亮 B.曹操,B
10,清明节时，人们喜欢折一根____枝插在头上，认为可以祛除鬼怪和灾难。,A.杨树 B.柳树,B
11,_____，中国是世界上最先进、最发达的国家之一。,A.明朝前期 B.元朝前期,A
12,中国热带经济作物的主要产地在____。,A.海南 B.云南,A
13,“麻婆豆腐”是____菜中的名菜。,A.湖南 B.四川,B
14,中国的四个直辖市是北京、天津、上海和_____。,A.重庆 B.香港,A
15,“精忠报国”刺在_____的背上。,A.文天祥 B.岳飞,B
16,禹死后，他的儿子代替了他的位置，这是____。,A.禅让制 B.世袭制,B
17,“八女投江”是发生在_____时期的英雄壮举。,A.抗日战争 B.解放战争,A
18,北宋的都城在今天中国的____。,A.开封 B.杭州,A
19,桂林有“山水甲天下”的美称，它位于____省东北部。,A.广西 B.广东,A
20,最常见的相声表演方式是____。,A.单口相声 B.对口相声,B
21,中国海拔最低的湖泊是____的艾丁湖。,A.吐鲁番盆地 B.塔里木盆地,A
22,____载人飞船发射成功，标志着我国突破和掌握了载人航天的基本技术。,A.神舟六号 B.神舟五号,B
23,云贵高原是世界上____地貌发育最典型的地区之一。,A.喀斯特 B.冰川,A
24,“淝水之战”是历史上有名的______的战役。,A.转败为胜 B.以少胜多,B
25,汉朝分为西汉和东汉，其中东汉定都于今____。,A.洛阳 B.西'安,A
26,世界自然基金会（WWF）以中国特有的动物____为徽标。,A.大熊猫 B.丹顶鹤,A
27,____临近香港，是中国设立最早的经济特区之一。,A.广州 B.深圳,B
28,____是全国抗战爆发以来中国军队的第一次胜利。,A.台儿庄战役 B.平型关大捷,B
29,发明活字印刷术的是北宋的______。,A.毕昇 B.蔡伦,A
30,中国画按画法分，主要有工笔画和____。,A.写意画 B.山水画,A
31,青藏高原的____被称为“高原之舟”。,A.羚羊 B.牦牛,B
32,"故宫的____又叫金銮殿,是中国最大的殿堂。",A.中和殿 B.太和殿,B
33,第29届奥运会在____举行。,A.上海 B.北京,B
34,乐山大佛在____的乐山市，是世界上最大的石刻佛像。,A.广西 B.四川,B
35,浙江龙泉窑主要出产____。,A.白瓷 B.青瓷,B
36,中国最热的地方是____。,A.吐鲁番盆地 B.四川盆地,A
37,被称为“包青天”的包拯是____人。,A.宋朝 B.元朝,A
38,白头山天池在_____，是因火山口积水而形成的湖泊。,A.长白山 B.天山,A
39,三国时期，刘备“三顾茅庐”找的是____。,A.诸葛亮 B.周瑜,A
40,四川的____于1996年列入世界自然与文化遗产。,A.峨眉山-乐山大佛 B.颐和园,A
41,按照“干支”纪年的方法，从一个甲子到另一个甲子是____年。,A.十二年 B.六十年,B
42,《武松打虎》的故事出自古典名著____。,A.《三国演义》B.《水浒传》,B
43,中国宫廷建筑的屋顶，一般都铺设____的琉璃瓦。,A.绿色 B.金黄色,B
44,宣纸是出产于_____的上等纸张。,A.安徽 B.浙江,A
45,在赤壁之战中，诸葛亮和周瑜都想用______的方式攻打曹操。,A.水攻 B.火攻,B
46,黄道婆成功地制成了当时世界上最先进的纺纱工具_____。,A.二锭脚踏纺棉车 B.三锭脚踏纺棉车,B
47,_____是园林中联系建筑的通道。,A.榭 B.廊,B
48,中国人的神话传说中，升天到了月亮上的女性是____。,A.嫦'娥 B.西王母,A
49,《孙子兵法》的作者是_____。,A.孙膑 B.孙武,B
50,中国的寺院一般以____为中心。,A.佛殿 B.塔,A
51,秦始皇下令统一文字，把简化了的字体_____作为标准字体。,A.小篆 B.大篆,A
52,____是中国最重要的内河航运大动脉。,A.黄河 B.长江,B
53,郑板桥是擅长画____的画家。,A.竹子 B.鱼虾,A
54,五帝是指_____、颛顼、帝喾、尧、舜。,A.炎帝 B.黄帝,B
55,中国第一部诗歌总集是____。,A.《诗经》B.《楚辞》,A
56,位于甘肃省的_____是明长城的最西端，也是长城三大关之一。,A.嘉峪关 B.山海关,A
57,265年，司马炎称帝，即晋武帝，国号为“晋”，史称_____。,A.东晋 B.西晋,B
58,柴达木盆地被称为_____。,A.“聚宝盆” B.“塞上江南”,A
59,中国最大的瀑布是贵州的_____瀑布。,A.壶口 B.黄果树,B
60,中国的少数民族主要分布在西北、西南和_____地区。,A.东北 B.东南,A
61,世界闻名的三大活化石植物是水杉、____、银杉，它们在中国都有分布。,A.梧桐 B.银杏,B
62,南宋建立后，出现了宋、_______对峙的局面。,A.元 B.金,B
63,“五四”运动发生在_____5月4日。,A.1918年 B.1919年,B
64,黄山位于_____省。,A.江西 B.安徽,B
65,______被称为汉武帝。,A.刘彻 B.刘邦,A
66,_____、罗马、雅典、开罗合称为“世界四大古城”。,A.西安 B.北京,A
67,每年_____月，中国江淮地区常常下雨，也是梅子成熟时，所以称为“梅雨”。,A.6-7 B.1-2,A
68,明朝时期，朱元璋在______建立了政权。,A.北京 B.南京,B
69,______在治水时三过家门不入。,A.鲧 B.禹,B
70,从腊月____日起，中国人就准备开始过年了。,A.初八 B.二十三,B
71,下令“焚书坑儒，坑杀术士”的是______。,A.秦始皇 B.隋炀帝,A
72,中国仅仅依靠占世界不足____的耕地养活了占世界20%的人口。,A.10% B.15%,A
73,______被尊称为“医圣”。,A.李时珍 B.张仲景,B
74,北京卢沟桥桥身两侧共雕有大小石狮____。,A.485只 B.585只,A
75,76山西的____古城于1997年列入世界文化遗产名录。,A.凤凰 B.平遥,B
76,北伐战争中，_____领导的第四军赢得了“铁军”的称号。,A.贺龙 B.叶挺,B
77,中国年产量最大的油田是____油田。,A.胜利 B.大庆,B
78,北京的故宫、曲阜的孔庙和泰山下的____被称为中国三大宫殿建筑群。,A.夫子庙 B.岱庙,B
79,中国的____干线可以分为南北干线和东西干线两大组。,A.铁路 B.公路,A
80,河南____的少林寺是中国佛教禅宗发源地。少林武功被称为“武林之尊”。,A.嵩山 B.恒山,A
81,韩非子主张______。,A.法治 B.德治,A
82,中国最冷的地方是____北部的漠河。,A.内蒙古 B.黑龙江,B
83,《史记》的作者是____。,A.司马迁 B.司马光,A
84,周口店“____”遗址于1987年列入世界文化遗产名录。,A.北京人 B.山顶洞人,A
85,位于山东省的泰山属于“五岳”中的_____。,A.东岳 B.北岳,A
86,汉语目前有___方言。,A.七大类 B.八大类,A
87,目前发现的最古老的汉字，是距今三千多年前的____。,A.金文B.甲骨文,B
88,汉代著名的外交家____打通了通往欧洲、西亚许多地区的“丝绸之路”。,A.苏武 B.张骞,B
89,北京的_____是万寿山和昆明湖的总称，是中国最大的古代园林。,A.颐和园 B.圆明园,A
